Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Crime_Code
3221634,9747418,HX397121,08/21/2014 06:01:00 PM,065XX S WHIPPLE ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,False,False,831,8.0,15.0,66.0,04B,2014,02/04/2016 06:33:39 AM,41.774648455,-87.699367673,2
2863532,9148293,HW294165,05/28/2013 10:00:00 AM,039XX W 15TH ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,1011,10.0,24.0,29.0,03,2013,02/04/2016 06:33:39 AM,41.860701173,-87.724296041,28
2783489,9019044,HW166174,02/22/2013 11:45:00 AM,0000X N KENTON AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1113,11.0,28.0,25.0,18,2013,02/04/2016 06:33:39 AM,41.881080424,-87.740105795,17
2432998,8463137,HV140211,01/31/2012 07:58:00 PM,036XX N HALSTED ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,2324,19.0,44.0,6.0,24,2012,02/04/2016 06:33:39 AM,41.947763579,-87.649500126,27
3133280,9599508,HX250162,05/04/2014 01:00:00 PM,013XX N LOREL AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,2532,25.0,37.0,25.0,17,2014,02/04/2016 06:33:39 AM,41.904525404,-87.759729364,29
3189451,9694326,HX344697,07/14/2014 12:30:00 PM,015XX E 55TH ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,234,2.0,4.0,41.0,06,2014,02/04/2016 06:33:39 AM,41.795191528,-87.588157998,31
4043321,10421339,HZ158622,02/20/2016 11:30:00 AM,012XX W 113TH PL,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,2234,22.0,34.0,75.0,03,2016,02/27/2016 03:47:14 PM,41.687589904,-87.652262414,28
2760693,8982018,HW129329,12/26/2012 01:00:00 AM,005XX E 49TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,SPORTS ARENA/STADIUM,False,False,223,2.0,3.0,38.0,14,2012,02/04/2016 06:33:39 AM,41.80579186,-87.613420278,6
3389393,10119898,HY308551,06/12/2015 08:00:00 AM,021XX N WINCHESTER AVE,2870,PUBLIC PEACE VIOLATION,PEEPING TOM,RESIDENCE,False,False,1432,14.0,32.0,22.0,24,2015,08/17/2015 03:03:40 PM,41.920089237,-87.676482724,27
2440317,8475284,HV151174,01/09/2012 11:37:00 AM,036XX S LAKE PARK AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,2122,2.0,4.0,36.0,06,2012,02/04/2016 06:33:39 AM,41.829329244,-87.606845621,31
2842214,9115621,HW260495,05/04/2013 07:45:00 PM,027XX E 75TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,334,3.0,7.0,43.0,18,2013,02/04/2016 06:33:39 AM,41.760218508,-87.557914035,17
2830093,9096587,HW241046,04/20/2013 09:00:00 PM,027XX W ROOSEVELT RD,0460,BATTERY,SIMPLE,APARTMENT,False,False,1135,11.0,28.0,29.0,08B,2013,02/04/2016 06:33:39 AM,41.866517317,-87.695178701,2
3197696,9708660,HX358294,07/23/2014 08:30:00 PM,035XX W SHAKESPEARE AVE,0810,THEFT,OVER $500,STREET,False,False,1413,14.0,26.0,22.0,06,2014,02/04/2016 06:33:39 AM,41.92005671,-87.714597432,31
3163524,9651750,HX301833,06/12/2014 04:30:00 PM,077XX S DREXEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,624,6.0,6.0,69.0,08B,2014,02/04/2016 06:33:39 AM,41.754283311,-87.602829212,2
4057897,10441904,HZ180501,03/09/2016 10:55:00 AM,055XX W HURON ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1524,15.0,37.0,25.0,08A,2016,03/16/2016 03:52:30 PM,41.892935505,-87.763946647,1
3469757,10260379,HY447718,10/03/2015 03:56:00 AM,004XX W WISCONSIN ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,True,False,1813,18.0,43.0,7.0,05,2015,12/20/2015 03:52:49 PM,41.916499324,-87.639542632,3
3120330,9578337,HX228489,04/18/2014 04:33:00 PM,021XX W 73RD ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,True,False,735,7.0,17.0,67.0,05,2014,02/04/2016 06:33:39 AM,41.761133934,-87.676610911,3
6170411,10721401,HZ480094,10/19/2016 12:06:00 AM,058XX S JUSTINE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,713,7.0,15.0,67.0,14,2016,10/26/2016 03:50:11 PM,41.78827445,-87.663206679,6
